record_id,paper_id,tea_type,component_group,activity_category,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,evidence_level,uncertainty_class
PMID_41907215_GLM1,PMID_41907215,green tea,catechins,gut microbiota modulation,gut-lung axis modulation,,,gut homeostasis; barrier function; immune response,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41899489_GLM1,PMID_41899489,black tea,tea polysaccharides,gut microbiota modulation,gut-liver axis: promotes butyrate production to skew macrophages to M2,,butyric acid,reduced liver inflammation and injury,preclinical_in_vivo,low_uncertainty
PMID_41899489_GLM2,PMID_41899489,black tea,tea polysaccharides,gut microbiota modulation,TPS promotes gut microbiota production of butyric acid,,butyric acid,,preclinical_in_vivo,low_uncertainty
PMID_41898599_GLM1,PMID_41898599,fermented tea,mixed polyphenols,antioxidant,phenolic compounds,,organic acids,,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41884463_GLM1,PMID_41884463,dark tea,volatile compounds; mixed polyphenols,other,Temperature-dependent metabolic regulation,Aspergillus tubingensis,1-octen-3-ol; beta-ionone,,preclinical_in_vivo,moderate_uncertainty
PMID_41863981_GLM1,PMID_41863981,unspecified tea,catechins,gut microbiota modulation,microbiota remodeling,"increased Prevotella and Subdoligranulum; decreased Oscillibacter, Desulfovibrio, Firmicutes, Verrucomicrobia",,improved gut health,preclinical_in_vivo,moderate_uncertainty
PMID_41863176_GLM1,PMID_41863176,green tea,catechins,gut microbiota modulation,regulation of gut microbiota,,,tumorigenesis inhibition,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41861686_GLM1,PMID_41861686,yellow tea,tea polysaccharides,gut microbiota modulation,barrier-related mechanism,beneficial gut microbiota,SCFAs,intestinal barrier integrity,preclinical_in_vivo,low_uncertainty
PMID_41861686_GLM2,PMID_41861686,yellow tea,tea polysaccharides,gut microbiota modulation,hormone signaling,,,glucose homeostasis,preclinical_in_vivo,low_uncertainty
PMID_41853609_GLM1,PMID_41853609,unspecified tea,caffeine,other,metabolite correlation,,echinulin; 6-gingerol,,preclinical_in_vivo,moderate_uncertainty
PMID_41853609_GLM2,PMID_41853609,unspecified tea,caffeine,metabolic improvement,metabolite correlation,,fuzhuanin A; teadenol A; betaine,,preclinical_in_vivo,moderate_uncertainty
PMID_41830022_GLM1,PMID_41830022,green tea,catechins,gut microbiota modulation,microbiota-associated mechanism,Coprococcus; Bifidobacterium,,insulin resistance,human_interventional,moderate_uncertainty
PMID_41829951_GLM1,PMID_41829951,green tea,mixed polyphenols,gut microbiota modulation,microbiota-associated mechanism,Bifidobacterium,,metabolic health,evidence_synthesis,moderate_uncertainty
PMID_41829951_GLM2,PMID_41829951,green tea,mixed polyphenols,gut microbiota modulation,microbiota-associated mechanism,Bifidobacterium; Faecalibacterium; Lactobacillus,,metabolic markers; inflammation; gut barrier integrity,evidence_synthesis,moderate_uncertainty
PMID_41829159_GLM1,PMID_41829159,dark tea,multiple component groups,gut microbiota modulation,microbiota-associated mechanism,Lactobacillus; Ligilactobacillus; Actinobacteria,,improved motility; anti-inflammatory response,preclinical_in_vivo,moderate_uncertainty
PMID_41829159_GLM2,PMID_41829159,dark tea,multiple component groups,gut microbiota modulation,metabolite transformation,,"cyclo-(Gly-Pro); N-(17-hydroxy-9,12-octadecadienoyl)-glutamine",increased fecal water; reduced defecation time; accelerated intestinal transit,preclinical_in_vivo,low_uncertainty
PMID_41828893_GLM3,PMID_41828893,unspecified tea,whole extract,other,growth inhibition,Staphylococcus aureus; Bacillus pumilus; Bacillus subtilis,,,preclinical_in_vivo,moderate_uncertainty
PMID_41804768_GLM1,PMID_41804768,green tea,catechins,gut microbiota modulation,Modulation of gut microbiota composition,Akkermansia muciniphila,,Altered gut microbiota composition,preclinical_in_vivo,low_uncertainty
PMID_41804768_GLM2,PMID_41804768,green tea,catechins,anti-inflammatory,SCFA-mediated inhibition of JAK2/STAT3 signaling,,SCFAs,Reduced pulmonary inflammation and intestinal tissue damage,preclinical_in_vivo,low_uncertainty
PMID_41804768_GLM3,PMID_41804768,green tea,catechins,other,Akkermansia muciniphila metabolism,Akkermansia muciniphila,SCFAs,,preclinical_in_vivo,moderate_uncertainty
PMID_41802656_GLM1,PMID_41802656,unspecified tea,theanine,gut microbiota modulation,elevated levels of tight junction proteins,Lactobacillus; Bifidobacterium,,enhanced intestinal health,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41800414_GLM1,PMID_41800414,green tea,catechins,other,disruption of extracellular polysaccharide synthesis and central metabolism,Streptococcus mutans,extracellular polysaccharides,,preclinical_in_vivo,moderate_uncertainty
PMID_41798939_GLM1,PMID_41798939,fermented tea,whole extract,gut microbiota modulation,remodeled gut microbiota composition,gut microbiota,,osteinoarthritis amelioration,preclinical_in_vivo,low_uncertainty
PMID_41791619_GLM1,PMID_41791619,unspecified tea,multiple component groups,gut microbiota modulation,modulation of bacterial abundance,Firmicutes; Bacteroidetes,,metabolic homeostasis,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41789592_GLM1,PMID_41789592,black tea,theaflavins,gut microbiota modulation,biotransformation,,theaflavin; gallic acid,,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41763794_GLM1,PMID_41763794,unspecified tea,multiple component groups,gut microbiota modulation,"enrichment of beneficial genera (Akkermansia, Allobaculum, Lactobacillus), SCFA/bile acid metabolism, TLR4/NF-κB and Nrf2/ARE signaling",Akkermansia; Allobaculum; Lactobacillus,short-chain fatty acids (SCFAs); secondary bile acids,enhanced gut barrier integrity; reduced DAI; attenuated histopathological damage,preclinical_in_vivo,moderate_uncertainty
PMID_41747591_GLM1,PMID_41747591,unspecified tea,whole extract,gut microbiota modulation,microbiota-associated mechanism,Lactobacillus; Bifidobacterium,,,preclinical_in_vivo,moderate_uncertainty
PMID_41738389_GLM2,PMID_41738389,black tea,theaflavins,gut microbiota modulation,enrichment of butyrate-producing genera,"Akkermansia, Gastranaerophilales_norank, Enterococcus, Streptococcus",butyrate,improved HFD-induced gut dysbiosis,preclinical_in_vivo,moderate_uncertainty
PMID_41716005_GLM1,PMID_41716005,unspecified tea,mixed polyphenols,gut microbiota modulation,"modulation of gut microbiota metabolites (SCFAs, secondary bile acids) acting on gut-brain and gut-liver axes",,short-chain fatty acids; secondary bile acids,obesity; energy balance,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41716005_GLM2,PMID_41716005,unspecified tea,mixed polyphenols,gut microbiota modulation,inhibition of central appetite via gut microbiota metabolites,,short-chain fatty acids; secondary bile acids,central appetite regulation,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41716005_GLM3,PMID_41716005,unspecified tea,mixed polyphenols,gut microbiota modulation,activation of liver AMPK pathway via gut microbiota metabolites,,short-chain fatty acids; secondary bile acids,liver lipid metabolism,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41703870_GLM1,PMID_41703870,green tea,catechins,gut microbiota modulation,selective enrichment of beneficial microbial taxa,"Ligilactobacillus, Akkermansia, Dubosiella, Bifidobacterium, Lachnospiraceae_NK4A136_group","butyrate, SCFAs",gut health,preclinical_in_vivo,low_uncertainty
PMID_41703844_GLM1,PMID_41703844,unspecified tea,catechins,gut microbiota modulation,hydrolysis of polymerized/galloylated catechins,Enterobacter; Cladosporium; Setophoma; Vishniacozyma,free phenolics,,preclinical_in_vivo,moderate_uncertainty
PMID_41703844_GLM2,PMID_41703844,unspecified tea,catechins,gut microbiota modulation,accumulation of free phenolics,Candida; Cyberlindnera; Lactobacillus; Pantoea,free phenolics and derivatives,,preclinical_in_vivo,moderate_uncertainty
PMID_41695108_GLM1,PMID_41695108,unspecified tea,mixed polyphenols,gut microbiota modulation,gut microbiota metabolism,,urolithins; equol,cardiovascular health,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41684150_GLM1,PMID_41684150,unspecified tea,mixed polyphenols,gut microbiota modulation,modulation of gut microbiota composition,"Fusobacteriota, Cetobacterium",,improved intestinal health,preclinical_in_vivo,moderate_uncertainty
PMID_41679603_GLM1,PMID_41679603,dark/post-fermented tea,tea polysaccharides,gut microbiota modulation,prebiotic effect,pathogenic bacteria; beneficial bacteria,,colitis,preclinical_in_vivo,moderate_uncertainty
PMID_41678410_GLM1,PMID_41678410,unspecified tea,whole extract,gut microbiota modulation,microbiota-associated mechanism,Akkermansia,short-chain fatty acids,obesity-related phenotype,preclinical_in_vivo,moderate_uncertainty
PMID_41656480_GLM1,PMID_41656480,green tea,multiple component groups,anti-inflammatory,TNF-alpha downregulation,Acetobacteraceae; Saccharomycetaceae,,periodontal inflammation,preclinical_in_vivo,low_uncertainty
PMID_41656480_GLM2,PMID_41656480,green tea,multiple component groups,other,RANK/RANKL/OPG pathway modulation,Acetobacteraceae; Saccharomycetaceae,,alveolar bone resorption,preclinical_in_vivo,moderate_uncertainty
PMID_41652699_GLM1,PMID_41652699,unspecified tea,tea polysaccharides,gut microbiota modulation,modulation of gut microbiota composition,"Prevotella, Streptococcus salivarius","lactic acid, short-chain fatty acids",,preclinical_in_vivo,moderate_uncertainty
PMID_41652699_GLM2,PMID_41652699,unspecified tea,tea polysaccharides,gut microbiota modulation,suppression of intestinal pathogen,Shigella,,,preclinical_in_vivo,moderate_uncertainty
PMID_41632991_GLM3,PMID_41632991,unspecified tea,mixed polyphenols,other,ROS burst-induced bacterial DNA damage,Staphylococcus aureus,,,preclinical_in_vivo,moderate_uncertainty
PMID_41622927_GLM1,PMID_41622927,unspecified tea,mixed polyphenols,gut microbiota modulation,biotransformation of polyphenols,,,,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41622499_GLM1,PMID_41622499,unspecified tea,mixed polyphenols,gut microbiota modulation,prebiotic-like effect,Lactobacillus; Bifidobacterium; Clostridium,,,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41622499_GLM3,PMID_41622499,unspecified tea,mixed polyphenols,metabolic improvement,host metabolism regulation; inflammation regulation,,bioactive metabolites,metabolic syndrome phenotype,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41605387_GLM1,PMID_41605387,unspecified tea,tea polysaccharides,gut microbiota modulation,preferential degradation of RG-I side chains,gut microbiota,,,preclinical_in_vivo,low_uncertainty
PMID_41599929_GLM1,PMID_41599929,unspecified tea,catechins,gut microbiota modulation,,,,,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41596333_GLM1,PMID_41596333,unspecified tea,whole extract,gut microbiota modulation,prevented bacterial richness reduction; prevented increase in Flintibacter butyricus,Flintibacter butyricus; Bifidobacterium,,metabolic syndrome phenotype,preclinical_in_vivo,moderate_uncertainty
PMID_41572086_GLM1,PMID_41572086,green tea,catechins,other,Inhibition of CviI/CviR circuit and binding to CviR protein,Chromobacterium violaceum,,,preclinical_in_vivo,moderate_uncertainty
PMID_41548613_GLM1,PMID_41548613,unspecified tea,mixed polyphenols,gut microbiota modulation,selective enrichment,Lactobacillus; Bifidobacterium,,enhanced intestinal barrier integrity,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41548613_GLM2,PMID_41548613,unspecified tea,mixed polyphenols,other,neurotransmitter regulation,,bioactive small molecules,modulated central neurotransmitters,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41547013_GLM1,PMID_41547013,black tea,theanine,gut microbiota modulation,fermentation_stage_modulation,Bacteroidota; Proteobacteria,,,preclinical_in_vivo,low_uncertainty
PMID_41547013_GLM2,PMID_41547013,black tea,theanine,gut microbiota modulation,metabolic_function_correlation,Bacteroidota; Proteobacteria,,,preclinical_in_vivo,low_uncertainty
PMID_41544875_GLM1,PMID_41544875,dark/post-fermented tea,tea polysaccharides,gut microbiota modulation,Enrichment of A. muciniphila activating TLR2-Akt anti-inflammatory pathway,Akkermansia muciniphila,,Treg/Th17 immune homeostasis restoration,preclinical_in_vivo,low_uncertainty
PMID_41544875_GLM2,PMID_41544875,dark/post-fermented tea,tea polysaccharides,gut microbiota modulation,Depletion of B. thetaiotaomicron preventing TLR2-NF-κB pro-inflammatory activation,Bacteroides thetaiotaomicron,,pro-inflammatory response reduction,preclinical_in_vivo,moderate_uncertainty
PMID_41534752_GLM1,PMID_41534752,unspecified tea,catechins,gut microbiota modulation,enzyme inhibition,Bacillus,,,preclinical_in_vivo,moderate_uncertainty
PMID_41534752_GLM2,PMID_41534752,unspecified tea,catechins,gut microbiota modulation,microbiome dysbiosis,gut bacteria,,gastrointestinal adverse effects,preclinical_in_vivo,moderate_uncertainty
PMID_41496404_GLM1,PMID_41496404,unspecified tea,catechins,other,sonochemical coupling reduces reaction barrier,,free acid polyphenols,,preclinical_in_vivo,moderate_uncertainty
PMID_41483799_GLM2,PMID_41483799,unspecified tea,mixed polyphenols,other,,E. coli; S. aureus,,,preclinical_in_vivo,moderate_uncertainty
PMID_41475763_GLM1,PMID_41475763,unspecified tea,tea polysaccharides,gut microbiota modulation,enrichment of SCFA producers,"Blautia, Muribaculaceae","butyrate, acetate, propionate",reduced hepatic lipid deposition,preclinical_in_vivo,moderate_uncertainty
PMID_41475763_GLM2,PMID_41475763,unspecified tea,tea polysaccharides,other,microbiota-gut-liver axis signaling,,"butyrate, isovalerate","reduced LDL-C, hepatic lipid deposition",preclinical_in_vivo,moderate_uncertainty
PMID_41431168_GLM1,PMID_41431168,yellow tea,multiple component groups,gut microbiota modulation,prebiotic-like effects; metabolized to bioactive phenolic acids; enhanced SCFA production; intestinal barrier reinforcement,,short-chain fatty acids; phenolic acids,NAFLD progression amelioration,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41384531_GLM1,PMID_41384531,green tea,tea polysaccharides,gut microbiota modulation,microbiota-associated mechanism,"Firmicutes, Bacteroidota, Actinobacteria","short-chain fatty acids (acetate, propionate)",,preclinical_in_vivo,moderate_uncertainty
PMID_41384531_GLM2,PMID_41384531,green tea,tea polysaccharides,gut microbiota modulation,microbiota-associated mechanism,"Proteobacteria, Escherichia-Shigella","short-chain fatty acids (acetate, propionate)",,preclinical_in_vivo,moderate_uncertainty
PMID_41384531_GLM3,PMID_41384531,green tea,tea polysaccharides,gut microbiota modulation,microbial metabolite production,,"acetate, propionate",,preclinical_in_vivo,low_uncertainty
PMID_41045993_GLM1,PMID_41045993,unspecified tea,mixed polyphenols,metabolic improvement,elevated metabolic fluxes through pentose phosphate pathway and cordycepin biosynthesis module,Cordyceps militaris,cordycepin,,preclinical_in_vivo,moderate_uncertainty
PMID_40836822_GLM1,PMID_40836822,green tea,multiple component groups,anti-inflammatory,interference with nuclear factor kappa B signalling pathway,Helicobacter pylori,,,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_40836822_GLM3,PMID_40836822,green tea,multiple component groups,other,anti-ulcer effect,Helicobacter pylori,,gastric tissue damage,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_40169473_GLM1,PMID_40169473,unspecified tea,mixed polyphenols,gut microbiota modulation,barrier-related mechanism,beneficial bacterial genera,,improved intestinal health,preclinical_in_vivo,moderate_uncertainty
PMID_40169473_GLM2,PMID_40169473,unspecified tea,mixed polyphenols,gut microbiota modulation,barrier-related mechanism,,,improving intestinal barrier function,preclinical_in_vivo,moderate_uncertainty
PMID_40169473_GLM3,PMID_40169473,unspecified tea,mixed polyphenols,gut microbiota modulation,,,,antioxidant capacity,preclinical_in_vivo,moderate_uncertainty
PMID_41594549_GLM1,PMID_41594549,green tea,catechins,gut microbiota modulation,gut-brain axis regulation,,,Alzheimer's disease pathology,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41517138_GLM1,PMID_41517138,white tea,caffeine,gut microbiota modulation,microbiota-metabolism regulation,Akkermansia; Lactobacillus; Bifidobacterium,short-chain fatty acids (SCFAs),amelioration of colitis symptoms,preclinical_in_vivo,low_uncertainty
PMID_41427140_GLM1,PMID_41427140,green tea,multiple component groups,gut microbiota modulation,,,,favorable microbiota profile,human_observational,moderate_uncertainty
PMID_41427140_GLM3,PMID_41427140,green tea,multiple component groups,gut microbiota modulation,,,,enhanced intestinal absorptive function,human_observational,moderate_uncertainty
PMID_41341495_GLM1,PMID_41341495,green tea,mixed polyphenols,gut microbiota modulation,microbiota-associated mechanism,"Lactobacillus, Alistipes, Odaribactor, Akkermansia, Bacteroides, Lachnospiraceae_NK4A136_group, Prevotella, Alloprevotella, Faecalibaculum, Helicobactor, Blautia, Clostridium, Staphylococcus",,food allergy,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41303363_GLM1,PMID_41303363,green tea,multiple component groups,gut microbiota modulation,prebiotic effect,,,intestinal health,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41303338_GLM1,PMID_41303338,unspecified tea,whole extract,other,disruption of fungal cell membranes,Candida albicans,,denture-associated candidiasis,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41300675_GLM2,PMID_41300675,green tea,multiple component groups,other,,cariogenic_bacteria,,caries_prevention,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41277394_GLM1,PMID_41277394,oolong tea,mixed polyphenols,gut microbiota modulation,microbiota-gut-brain axis,"Lactobacillus, Desulfovibrio",short-chain fatty acids,gut microbiota dysbiosis,preclinical_in_vivo,low_uncertainty
PMID_41274681_GLM2,PMID_41274681,green tea,catechins,other,antibacterial effects of catechins,"Limosilactobacillus, Lactiplantibacillus",,,preclinical_in_vivo,moderate_uncertainty
PMID_41235304_GLM1,PMID_41235304,green tea,catechins,gut microbiota modulation,,,,adiposity,evidence_synthesis,moderate_uncertainty
PMID_41175620_GLM2,PMID_41175620,unspecified tea,mixed polyphenols,antioxidant,cytoprotective effects,,Teadenol A,oxidative stress,preclinical_in_vivo,moderate_uncertainty
PMID_41163054_GLM1,PMID_41163054,green tea,whole extract,gut microbiota modulation,enhancing gut microbiota balance,Akkermansia muciniphila,,obesity,human_interventional,moderate_uncertainty
PMID_41151447_GLM1,PMID_41151447,green tea,catechins,gut microbiota modulation,microbiota-associated mechanism,Clostridium sensu stricto 1,,,preclinical_in_vivo,moderate_uncertainty
PMID_41140078_GLM1,PMID_41140078,green tea,catechins,other,antibacterial,Streptococcus mutans,,dental caries,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41106481_GLM1,PMID_41106481,green tea,catechins,gut microbiota modulation,Promoting beneficial bacteria and inhibiting pathogenic strains,beneficial bacteria; pathogenic strains,,gut health,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41106481_GLM2,PMID_41106481,green tea,catechins,gut microbiota modulation,Upregulating tight junction proteins,,short-chain fatty acids,intestinal barrier integrity,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41106481_GLM3,PMID_41106481,green tea,catechins,gut microbiota modulation,Modulation of key gut-related health pathways,,,systemic health,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41089755_GLM1,PMID_41089755,fermented tea,catechins,gut microbiota modulation,gut-brain axis,commensal bacteria; pathogenic strains,short-chain fatty acids,cognitive health,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41061287_GLM1,PMID_41061287,black tea,theaflavins,anti-obesity,AMPK/SREBP-1 pathway; AMPK/SIRT1/PGC-1α/UCP1 pathway; gut microbiota modulation,"Alistipes, Akkermansia, Coprococcus, NK4A214_group, Collinsella, Rikenellaceae_RC9_gut_group",,"mitigated body weight, lipid deposition; white adipose tissue browning",preclinical_in_vivo,low_uncertainty
PMID_41061287_GLM3,PMID_41061287,black tea,theaflavins,gut microbiota modulation,"regulated metabolic pathways (starch and sucrose, α-linolenic acid, glycine-serine-threonine)","Alistipes, Akkermansia, Coprococcus, NK4A214_group, Collinsella, Rikenellaceae_RC9_gut_group",,improved intestinal barrier integrity,preclinical_in_vivo,low_uncertainty
