record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_38056775_R1,PMID_38056775,unspecified tea,unspecified material,multiple component groups,,anti-inflammatory,general anti-inflammatory activity summary,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,,,,,multiple mechanisms summarized,,,,"Updated review summarizing anti-inflammatory mechanisms and activities of tea bioactive compounds across studies.",0.95,codex_v1,not_needed,Review-derived summary record for phase-1 evidence framing
PMID_38056775_R2,PMID_38056775,unspecified tea,unspecified material,multiple component groups,,gut microbiota modulation,general gut microbiota modulation summary,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,,,,,microbiota-related mechanisms summarized,,,,"Updated review summarizing gut microbiota-related functional activities of tea bioactive compounds.",0.93,codex_v1,not_needed,Second record from same review because activity family differs
PMID_40477896_R1,PMID_40477896,unspecified tea,tea extract,multiple component groups,,other,extraction technologies affecting bioactive compound recovery,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,,multiple extraction methods,,,compound recovery and process efficiency,,,,"Review describing how extraction technologies influence recovery of value-added tea bioactive compounds.",0.91,codex_v1,not_needed,Phase-2 oriented context paper
PMID_38137271_R1,PMID_38137271,black tea,tea leaf,multiple component groups,,other,processing-associated phytochemical profile change,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,withering;rolling;fermentation/oxidation;drying,,,"",phytochemical profile modulation,,,,"Review linking black tea harvesting and processing steps to phytochemical profile and final quality.",0.90,codex_v1,not_needed,Phase-2 processing context anchor
PMID_39274868_R1,PMID_39274868,unspecified tea,tea infusion,multiple component groups,,gut microbiota modulation,gut microbiota composition/function modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,processing category contrast,,,,microbiota-mediated modulation,,,,"Review on differently processed tea and gut microbiota effects across tea types.",0.95,codex_v1,not_needed,Strong bridge between C01 and C06
PMID_39920567_R1,PMID_39920567,unspecified tea,purified component,mixed polyphenols,,other,bioavailability as determinant of in vivo activity interpretation,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,mixed,,,,,bioavailability and metabolism constraints,,,,"Review arguing that tea polyphenol bioavailability is essential for interpreting mechanisms of action and health effects in vivo.",0.96,codex_v1,not_needed,Important interpretation-layer record
PMID_38938012_R1,PMID_38938012,unspecified tea,tea infusion,whole extract,,cardiovascular protection,cardiovascular disease mortality risk,meta-analysis,evidence_synthesis,human prospective cohorts,habitual tea consumption as reported in included cohorts,positive,,,,,,,,,"Meta-analysis of prospective cohorts indicating an association between tea consumption and reduced cardiovascular disease mortality risk.",0.94,codex_v1,not_needed,Human evidence anchor
PMID_38938012_R2,PMID_38938012,unspecified tea,tea infusion,whole extract,,other,all-cause mortality risk,meta-analysis,evidence_synthesis,human prospective cohorts,habitual tea consumption as reported in included cohorts,positive,,,,,,,,,"Meta-analysis of prospective cohorts indicating an association between tea consumption and reduced all-cause mortality risk.",0.92,codex_v1,not_needed,Separate endpoint from same study
PMID_40314930_R1,PMID_40314930,unspecified tea,purified component,theanine,L-theanine,neuroprotection,cognition outcome summary in healthy participants,meta-analysis,evidence_synthesis,human randomized trials,dose and duration as reported in included RCTs,positive,,,,,,,"","Systematic review and meta-analysis of RCTs on tea or L-theanine or L-theanine plus caffeine reporting cognition-related outcomes in healthy participants.",0.93,codex_v1,not_needed,Human cognition evidence anchor
PMID_39574401_R1,PMID_39574401,unspecified tea,purified component,mixed polyphenols,tea polyphenols,anti-obesity,body weight gain and obesity-related phenotype in HFD mice,animal study,preclinical_in_vivo,high-fat diet-induced mice,as reported in paper,positive,,,,,gut barrier and inflammation modulation,Akkermansia; other taxa as reported,SCFAs,obesity-related phenotype,"Tea polyphenols reduced obesity by modulating gut microbiota, SCFAs, barrier function, and inflammation in high-fat diet-induced mice.",0.95,codex_v1,not_needed,Core C06 mechanistic record
PMID_39574401_R2,PMID_39574401,unspecified tea,purified component,mixed polyphenols,tea polyphenols,gut microbiota modulation,gut microbiota and SCFA modulation in HFD mice,animal study,preclinical_in_vivo,high-fat diet-induced mice,as reported in paper,positive,,,,,microbiota-SCFAs-barrier axis,Akkermansia; taxa as reported,SCFAs,barrier/inflammation state,"Tea polyphenols reshaped gut microbiota and SCFA-related pathways linked to host barrier and inflammatory status.",0.94,codex_v1,not_needed,Separate microbiota-focused record from same paper
PMID_38745351_R1,PMID_38745351,oolong tea,purified component,mixed polyphenols,oolong tea polyphenols,neuroprotection,cognitive impairment improvement in circadian rhythm disorder model,animal study,preclinical_in_vivo,rodent cognitive impairment model induced by circadian rhythm disorder,as reported in paper,positive,,,,,gut microbiota-mediated neuroprotection,taxa as reported,microbial metabolites as reported,cognitive impairment phenotype,"Gut microbiota mediated the neuroprotective effect of oolong tea polyphenols in cognitive impairment induced by circadian rhythm disorder.",0.95,codex_v1,not_needed,Core C06 cognition-mechanism record
PMID_39452088_R1,PMID_39452088,dark/post-fermented tea,fermented beverage,mixed polyphenols,,anti-obesity,obesity-related outcomes via gut microbiota review summary,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,aging/post-fermentation,,,,microbiota-mediated anti-obesity mechanisms,,,,"Review summarizing fermented tea effects on gut microbiota and obesity-related outcomes.",0.92,codex_v1,not_needed,Phase-3 fermented tea bridge
PMID_39732435_R1,PMID_39732435,black tea,fermented beverage,whole extract,,gut microbiota modulation,gut microbiota modulation in individuals with and without obesity,randomized controlled trial,human_interventional,human participants with and without obesity,regular black tea kombucha consumption as reported in paper,positive,fermentation/oxidation,,,,microbiota modulation,taxa as reported,,microbiota profile,"Regular consumption of black tea kombucha modulated the gut microbiota in individuals with and without obesity.",0.94,codex_v1,not_needed,Rare human microbiome intervention anchor
